,blue,red,date,blue_score,red_score,winner,winner_name,blue_is_winner,year,blue_win_avg,red_win_avg,blue_won_last_match,red_won_last_match,blue_streak,red_streak,blue_winst_against,red_winst_against,blue_rolling_win_avg_5,red_rolling_win_avg_5,blue_rolling_win_avg_10,red_rolling_win_avg_10
16,Cloud9,Echo Fox,2019-03-16,0,1,red,Echo Fox,False,2019,0.7857142857142857,0.2857142857142857,True,False,0.0,1.0,1,0,0.8,0.0,0.9,0.2
20,CLG,OpTic Gaming,2019-03-16,1,0,blue,CLG,True,2019,0.35714285714285715,0.42857142857142855,False,False,0.0,0.0,0,1,0.2,0.6,0.3,0.4
18,Golden Guardians,TSM,2019-03-16,0,1,red,TSM,False,2019,0.42857142857142855,0.6428571428571429,False,True,0.0,3.0,1,0,0.6,0.8,0.6,0.7
19,100 Thieves,FlyQuest,2019-03-16,0,1,red,FlyQuest,False,2019,0.2857142857142857,0.5,False,True,0.0,3.0,0,1,0.2,0.4,0.3,0.4
17,Team Liquid,Clutch Gaming,2019-03-16,1,0,blue,Team Liquid,True,2019,0.9285714285714286,0.35714285714285715,True,True,0.0,0.0,1,0,1.0,0.4,0.9,0.3
14,TSM,CLG,2019-03-17,1,0,blue,TSM,True,2019,0.6666666666666666,0.4,True,True,4.0,0.0,1,0,0.8,0.4,0.8,0.3
13,Echo Fox,100 Thieves,2019-03-17,1,0,blue,Echo Fox,True,2019,0.3333333333333333,0.26666666666666666,True,False,2.0,0.0,1,0,0.2,0.2,0.3,0.2
12,OpTic Gaming,Cloud9,2019-03-17,0,1,red,Cloud9,False,2019,0.4,0.7333333333333333,False,False,0.0,1.0,0,1,0.4,0.6,0.4,0.8
11,Team Liquid,FlyQuest,2019-03-17,0,1,red,FlyQuest,False,2019,0.9333333333333333,0.5333333333333333,True,True,0.0,0.0,1,0,1.0,0.6,0.9,0.5
15,Clutch Gaming,Golden Guardians,2019-03-17,0,1,red,Golden Guardians,False,2019,0.3333333333333333,0.4,False,False,0.0,1.0,1,0,0.4,0.4,0.3,0.5
10,Cloud9,FlyQuest,2019-03-23,1,0,blue,Cloud9,True,2019,0.75,0.5625,True,True,2.0,0.0,1,0,0.6,0.8,0.8,0.6
9,Echo Fox,Team Liquid,2019-03-23,1,0,blue,Echo Fox,True,2019,0.375,0.875,True,False,3.0,0.0,0,1,0.4,0.8,0.3,0.8
8,Golden Guardians,OpTic Gaming,2019-03-23,1,0,blue,Golden Guardians,True,2019,0.4375,0.375,True,False,0.0,0.0,1,0,0.6,0.4,0.5,0.4
7,Clutch Gaming,TSM,2019-03-23,0,1,red,TSM,False,2019,0.3125,0.6875,False,True,0.0,5.0,1,0,0.4,0.8,0.3,0.9
6,100 Thieves,CLG,2019-03-23,0,1,red,CLG,False,2019,0.25,0.375,False,False,0.0,0.0,1,0,0.0,0.2,0.1,0.3
0,FlyQuest,Golden Guardians,2019-03-24,1,0,blue,FlyQuest,True,2019,0.5294117647058824,0.47058823529411764,False,True,0.0,0.0,1,0,0.8,0.6,0.5,0.6
5,Cloud9,Clutch Gaming,2019-03-24,1,0,blue,Cloud9,True,2019,0.7647058823529411,0.29411764705882354,True,False,3.0,0.0,1,0,0.6,0.2,0.8,0.3
4,OpTic Gaming,100 Thieves,2019-03-24,1,0,blue,OpTic Gaming,True,2019,0.35294117647058826,0.23529411764705882,False,False,0.0,0.0,1,0,0.2,0.0,0.4,0.1
3,CLG,Echo Fox,2019-03-24,0,1,red,Echo Fox,False,2019,0.4117647058823529,0.4117647058823529,True,True,0.0,0.0,1,0,0.4,0.6,0.3,0.4
2,FlyQuest,Golden Guardians,2019-03-24,0,1,red,Golden Guardians,False,2019,0.5294117647058824,0.47058823529411764,False,True,0.0,0.0,1,0,0.8,0.6,0.5,0.6
1,Team Liquid,TSM,2019-03-24,0,1,red,TSM,False,2019,0.8235294117647058,0.7058823529411765,False,True,0.0,0.0,0,1,0.6,1.0,0.7,0.9
184,Cloud9,Team Liquid,2020-01-25,1,0,blue,Cloud9,True,2020,0.7777777777777778,0.7777777777777778,True,False,4.0,0.0,0,2,0.8,0.4,0.8,0.7
183,CLG,Dignitas,2020-01-25,0,1,red,Dignitas,False,2020,0.3888888888888889,0.0,False,False,0.0,0.0,0,0,0.4,0.0,0.3,0.0
182,100 Thieves,Golden Guardians,2020-01-25,1,0,blue,100 Thieves,True,2020,0.2222222222222222,0.47368421052631576,False,True,0.0,0.0,1,1,0.0,0.6,0.1,0.6
181,Immortals,FlyQuest,2020-01-25,0,1,red,FlyQuest,False,2020,0.0,0.5263157894736842,False,False,0.0,1.0,0,0,0.0,0.6,0.0,0.5
180,Dignitas,Evil Geniuses,2020-01-26,1,0,blue,Dignitas,True,2020,1.0,0.0,True,False,1.0,0.0,0,0,1.0,0.0,1.0,0.0
179,TSM,Immortals,2020-01-26,0,1,red,Immortals,False,2020,0.7222222222222222,0.0,True,False,0.0,0.0,0,0,1.0,0.0,0.9,0.0
178,Golden Guardians,Cloud9,2020-01-26,0,1,red,Cloud9,False,2020,0.45,0.7894736842105263,False,True,0.0,5.0,0,2,0.6,0.8,0.5,0.8
177,FlyQuest,CLG,2020-01-26,1,0,blue,FlyQuest,True,2020,0.55,0.3684210526315789,True,False,0.0,0.0,0,2,0.6,0.4,0.6,0.3
175,Team Liquid,TSM,2020-01-27,1,0,blue,Team Liquid,True,2020,0.7368421052631579,0.6842105263157895,False,False,0.0,0.0,0,2,0.2,0.8,0.6,0.8
176,Evil Geniuses,100 Thieves,2020-01-27,1,0,blue,Evil Geniuses,True,2020,0.0,0.2631578947368421,False,True,0.0,0.0,0,0,0.0,0.2,0.0,0.2
174,CLG,100 Thieves,2020-02-01,0,1,red,100 Thieves,False,2020,0.35,0.25,False,False,0.0,0.0,1,1,0.2,0.2,0.3,0.2
173,Dignitas,Team Liquid,2020-02-01,1,0,blue,Dignitas,True,2020,1.0,0.75,True,True,0.0,0.0,0,0,1.0,0.2,1.0,0.6
172,Cloud9,Immortals,2020-02-01,1,0,blue,Cloud9,True,2020,0.8,0.5,True,True,6.0,0.0,0,0,1.0,0.5,0.8,0.5
171,Evil Geniuses,Golden Guardians,2020-02-01,0,1,red,Golden Guardians,False,2020,0.5,0.42857142857142855,True,False,0.0,0.0,0,0,0.5,0.4,0.5,0.5
170,Evil Geniuses,TSM,2020-02-02,0,1,red,TSM,False,2020,0.3333333333333333,0.65,False,False,0.0,1.0,0,0,0.3333333333333333,0.6,0.3333333333333333,0.7
169,Team Liquid,FlyQuest,2020-02-02,1,0,blue,Team Liquid,True,2020,0.7142857142857143,0.5714285714285714,False,True,0.0,0.0,1,1,0.2,0.6,0.5,0.7
168,100 Thieves,Cloud9,2020-02-02,0,1,red,Cloud9,False,2020,0.2857142857142857,0.8095238095238095,True,True,0.0,7.0,0,2,0.4,1.0,0.2,0.8
167,Immortals,Golden Guardians,2020-02-02,1,0,blue,Immortals,True,2020,0.3333333333333333,0.45454545454545453,False,True,1.0,0.0,0,0,0.3333333333333333,0.4,0.3333333333333333,0.5
166,FlyQuest,Dignitas,2020-02-03,1,0,blue,FlyQuest,True,2020,0.5454545454545454,1.0,False,True,0.0,0.0,0,0,0.6,1.0,0.7,1.0
165,TSM,CLG,2020-02-03,1,0,blue,TSM,True,2020,0.6666666666666666,0.3333333333333333,True,False,2.0,0.0,2,0,0.6,0.2,0.7,0.2
161,Cloud9,FlyQuest,2020-02-08,1,0,blue,Cloud9,True,2020,0.8181818181818182,0.5652173913043478,True,True,8.0,0.0,2,0,1.0,0.6,0.8,0.7
164,Evil Geniuses,CLG,2020-02-08,0,1,red,CLG,False,2020,0.25,0.3181818181818182,False,False,0.0,0.0,0,0,0.25,0.0,0.25,0.2
163,100 Thieves,Team Liquid,2020-02-08,1,0,blue,100 Thieves,True,2020,0.2727272727272727,0.7272727272727273,False,True,0.0,0.0,0,2,0.4,0.4,0.2,0.5
162,TSM,Dignitas,2020-02-08,1,0,blue,TSM,True,2020,0.6818181818181818,0.75,True,False,3.0,0.0,0,0,0.6,0.75,0.8,0.75
158,Dignitas,Cloud9,2020-02-09,0,1,red,Cloud9,False,2020,0.6,0.8260869565217391,False,True,0.0,9.0,0,0,0.6,1.0,0.6,0.9
157,FlyQuest,Evil Geniuses,2020-02-09,0,1,red,Evil Geniuses,False,2020,0.5416666666666666,0.2,False,False,0.0,1.0,0,0,0.6,0.2,0.6,0.2
160,Immortals,100 Thieves,2020-02-09,1,0,blue,Immortals,True,2020,0.5,0.30434782608695654,True,True,2.0,0.0,0,0,0.5,0.6,0.5,0.3
159,Golden Guardians,TSM,2020-02-09,0,1,red,TSM,False,2020,0.43478260869565216,0.6956521739130435,False,True,0.0,0.0,1,1,0.4,0.6,0.4,0.8
156,Team Liquid,Golden Guardians,2020-02-10,0,1,red,Golden Guardians,False,2020,0.6956521739130435,0.4166666666666667,False,False,0.0,1.0,2,0,0.4,0.2,0.4,0.4
155,CLG,Immortals,2020-02-10,0,1,red,Immortals,False,2020,0.34782608695652173,0.6,True,True,0.0,3.0,0,0,0.2,0.6,0.3,0.6
154,Team Liquid,Immortals,2020-02-15,0,1,red,Immortals,False,2020,0.6666666666666666,0.6666666666666666,False,True,0.0,0.0,0,0,0.4,0.8,0.3,0.6666666666666666
153,Cloud9,TSM,2020-02-15,1,0,blue,Cloud9,True,2020,0.8333333333333334,0.7083333333333334,True,True,10.0,0.0,2,0,1.0,0.8,0.9,0.8
152,CLG,Golden Guardians,2020-02-15,0,1,red,Golden Guardians,False,2020,0.3333333333333333,0.44,False,True,0.0,2.0,0,2,0.2,0.4,0.3,0.5
151,100 Thieves,Dignitas,2020-02-15,0,1,red,Dignitas,False,2020,0.2916666666666667,0.5,False,False,0.0,0.0,0,0,0.4,0.4,0.3,0.5
148,TSM,FlyQuest,2020-02-16,0,1,red,FlyQuest,False,2020,0.68,0.52,False,False,0.0,1.0,1,1,0.8,0.4,0.7,0.5
147,Evil Geniuses,Immortals,2020-02-16,1,0,blue,Evil Geniuses,True,2020,0.3333333333333333,0.7142857142857143,True,True,0.0,0.0,0,0,0.4,0.8,0.3333333333333333,0.7142857142857143
150,Dignitas,Golden Guardians,2020-02-16,0,1,red,Golden Guardians,False,2020,0.5714285714285714,0.46153846153846156,True,True,0.0,0.0,0,0,0.4,0.6,0.5714285714285714,0.5
149,CLG,Team Liquid,2020-02-16,0,1,red,Team Liquid,False,2020,0.32,0.64,False,False,0.0,0.0,0,2,0.2,0.2,0.2,0.2
146,FlyQuest,100 Thieves,2020-02-17,1,0,blue,FlyQuest,True,2020,0.5384615384615384,0.28,True,False,2.0,0.0,2,0,0.4,0.4,0.5,0.3
145,Evil Geniuses,Cloud9,2020-02-17,0,1,red,Cloud9,False,2020,0.42857142857142855,0.84,True,True,0.0,11.0,0,0,0.4,1.0,0.42857142857142855,1.0
144,100 Thieves,TSM,2020-02-22,0,1,red,TSM,False,2020,0.2692307692307692,0.6538461538461539,False,False,0.0,1.0,0,2,0.2,0.6,0.3,0.6
143,Cloud9,CLG,2020-02-22,1,0,blue,Cloud9,True,2020,0.8461538461538461,0.3076923076923077,True,False,12.0,0.0,1,1,1.0,0.2,1.0,0.2
142,Dignitas,Immortals,2020-02-22,1,0,blue,Dignitas,True,2020,0.5,0.625,False,False,0.0,0.0,0,0,0.2,0.8,0.5,0.625
141,FlyQuest,Golden Guardians,2020-02-22,1,0,blue,FlyQuest,True,2020,0.5555555555555556,0.48148148148148145,True,True,3.0,0.0,2,1,0.6,0.6,0.6,0.5
139,Immortals,Cloud9,2020-02-23,0,1,red,Cloud9,False,2020,0.5555555555555556,0.8518518518518519,False,True,0.0,13.0,0,1,0.6,1.0,0.5555555555555556,1.0
137,FlyQuest,CLG,2020-02-23,1,0,blue,FlyQuest,True,2020,0.5714285714285714,0.2962962962962963,True,False,0.0,0.0,1,2,0.6,0.2,0.6,0.1
138,Golden Guardians,100 Thieves,2020-02-23,0,1,red,100 Thieves,False,2020,0.4642857142857143,0.25925925925925924,False,False,0.0,1.0,1,2,0.6,0.2,0.5,0.3
140,Evil Geniuses,Team Liquid,2020-02-23,1,0,blue,Evil Geniuses,True,2020,0.375,0.6538461538461539,False,True,0.0,0.0,0,0,0.4,0.4,0.375,0.3
135,Team Liquid,Dignitas,2020-02-24,1,0,blue,Team Liquid,True,2020,0.6296296296296297,0.5555555555555556,False,True,1.0,0.0,0,1,0.2,0.4,0.3,0.5555555555555556
136,TSM,Evil Geniuses,2020-02-24,1,0,blue,TSM,True,2020,0.6666666666666666,0.4444444444444444,True,True,0.0,0.0,1,0,0.6,0.6,0.6,0.4444444444444444
133,Team Liquid,TSM,2020-02-29,1,0,blue,Team Liquid,True,2020,0.6428571428571429,0.6785714285714286,True,True,2.0,0.0,1,2,0.4,0.6,0.4,0.6
134,Cloud9,FlyQuest,2020-02-29,1,0,blue,Cloud9,True,2020,0.8571428571428571,0.5862068965517241,True,True,14.0,0.0,3,0,1.0,0.8,1.0,0.7
132,Golden Guardians,Immortals,2020-02-29,1,0,blue,Golden Guardians,True,2020,0.4482758620689655,0.5,False,False,0.0,0.0,0,1,0.6,0.4,0.4,0.5
131,100 Thieves,Evil Geniuses,2020-02-29,1,0,blue,100 Thieves,True,2020,0.2857142857142857,0.4,True,False,0.0,0.0,0,1,0.2,0.6,0.4,0.4
130,Team Liquid,100 Thieves,2020-03-01,1,0,blue,Team Liquid,True,2020,0.6551724137931034,0.3103448275862069,True,True,0.0,0.0,2,1,0.6,0.4,0.5,0.4
129,Dignitas,FlyQuest,2020-03-01,0,1,red,FlyQuest,False,2020,0.5,0.5666666666666667,False,False,0.0,0.0,0,1,0.4,0.8,0.5,0.6
127,Evil Geniuses,Golden Guardians,2020-03-01,1,0,blue,Evil Geniuses,True,2020,0.36363636363636365,0.4666666666666667,False,True,1.0,0.0,0,1,0.4,0.6,0.4,0.5
128,CLG,TSM,2020-03-01,1,0,blue,CLG,True,2020,0.2857142857142857,0.6551724137931034,False,False,0.0,0.0,0,3,0.0,0.4,0.1,0.6
126,Immortals,CLG,2020-03-02,1,0,blue,Immortals,True,2020,0.45454545454545453,0.3103448275862069,False,True,0.0,0.0,1,0,0.2,0.2,0.5,0.2
125,Cloud9,Dignitas,2020-03-02,1,0,blue,Cloud9,True,2020,0.8620689655172413,0.45454545454545453,True,False,0.0,0.0,1,0,1.0,0.4,1.0,0.4
122,Team Liquid,CLG,2020-03-07,0,1,red,CLG,False,2020,0.6666666666666666,0.3,True,False,0.0,0.0,3,0,0.8,0.2,0.5,0.2
123,Dignitas,100 Thieves,2020-03-07,0,1,red,100 Thieves,False,2020,0.4166666666666667,0.3,False,False,0.0,1.0,1,0,0.2,0.4,0.3,0.4
